station_code,exit_number,latitude,longitude,osm_type,osm_id
124,8,35.1963483,129.0800918,node,8265705605
124,9,35.1938873,129.0802027,node,8265705606
125,1,35.2050932,129.0783697,node,1772360709
125,2,35.2051021,129.0786406,node,1772360707
125,3,35.2059875,129.0783563,node,1772360704
125,4,35.2059919,129.0786245,node,1772360713
126,1,35.2122202,129.0793245,node,1772360740
126,2,35.2121431,129.0795358,node,1772360735
126,3,35.2130638,129.0798932,node,1772360732
126,4,35.2129718,129.0800809,node,1772360737
126,5,35.2119243,129.0791531,node,1772360741
127,1,35.2197624,129.0859784,node,1772360711
127,2,35.2196860,129.0861910,node,1772360706
127,3,35.2208911,129.0866148,node,1772360730
127,4,35.2208253,129.0868294,node,1772360728
127,5,35.2210072,129.0866792,node,1772360743
128,1,35.2292478,129.0892651,node,1772360726
128,2,35.2292479,129.0895172,node,1772360715
128,3,35.2303226,129.0891451,node,1772360724
128,4,35.2303521,129.0893831,node,1772360720
129,1,35.2375841,129.0881195,node,1772360701
129,2,35.2376279,129.0883260,node,1772360702
129,3,35.2385568,129.0879720,node,1772360742
129,4,35.2385499,129.0881779,node,1772360700
130,1,35.2465598,129.0911062,node,1772360722
130,2,35.2465546,129.0913073,node,1772360744
130,3,35.2479549,129.0911980,node,1772360733
130,4,35.2479471,129.0914204,node,1772360745
131,1,35.2563301,129.0912474,node,4701614790
131,1,35.2563347,129.0912305,node,8265472388
131,2,35.2563314,129.0915613,node,4701614789
131,2,35.2563353,129.0915521,node,8265472389
131,3,35.2567456,129.0912405,node,4701614791
131,3,35.2566891,129.0912305,node,8265472390
131,4,35.2567468,129.0915549,node,4701614388
131,4,35.2566891,129.0915294,node,8265472391
131,5,35.2573142,129.0912341,node,4735601826
131,5,35.2573283,129.0912350,node,8265472392
131,6,35.2573138,129.0915483,node,4701614386
131,6,35.2573273,129.0915363,node,8265472393
131,7,35.2577296,129.0912271,node,4735601825
131,7,35.2576178,129.0912305,node,8265472394
131,8,35.2577293,129.0915414,node,4735601827
131,8,35.2576204,129.0915296,node,8265472395
132,1,35.2645129,129.0921610,node,4735601845
132,1,35.2645807,129.0921427,node,8265433408
132,2,35.2644656,129.0924699,node,4735601854
132,2,35.2645466,129.0924221,node,8265433409
132,3,35.2649223,129.0922471,node,4735601842
132,3,35.2649713,129.0922414,node,4735601873
132,3,35.2648484,129.0922071,node,8265433410
132,4,35.2648751,129.0925560,node,4735601857
132,4,35.2649285,129.0925805,node,4735601874
132,4,35.2648107,129.0925051,node,8265433411
132,5,35.2655505,129.0923816,node,4735601835
132,5,35.2656318,129.0923817,node,8265433412
132,6,35.2655053,129.0926912,node,4735601864
132,6,35.2656055,129.0926843,node,8265433413
132,7,35.2659599,129.0924677,node,4735601832
132,7,35.2658955,129.0924418,node,8265433414
132,8,35.2659147,129.0927773,node,4735601867
132,8,35.2658613,129.0927497,node,8265433415
133,1,35.2723770,129.0924579,node,8256828710
133,2,35.2724106,129.0927559,node,8256828711
133,3,35.2727676,129.0924401,node,8256828712
133,4,35.2727740,129.0927424,node,8256828713
133,5,35.2735487,129.0924336,node,8256828714
133,6,35.2735596,129.0927996,node,8256828715
133,7,35.2738924,129.0924412,node,8256828716
133,8,35.2739013,129.0927903,node,8256829517
134,1,35.2840474,129.0948315,node,8256799987
134,2,35.2836232,129.0948612,node,8256799988
134,3,35.2842949,129.0951375,node,8256799989
201,1,35.1703427,129.1781750,node,8272556740
201,10,35.1698382,129.1756766,node,8272556748
201,11,35.1688550,129.1759956,node,8272556751
201,12,35.1697253,129.1754365,node,8272556749
201,13,35.1689869,129.1756086,node,8272556752
201,14,35.1692553,129.1754555,node,8272556753
201,2,35.1705296,129.1780741,node,8272556741
201,3,35.1698424,129.1779268,node,8272556743
201,4,35.1706309,129.1773770,node,8272556742
201,5,35.1698954,129.1772122,node,8272556744
201,6,35.1700887,129.1770907,node,8272556745
201,7,35.1696361,129.1766207,node,8272556747
201,8,35.1698330,129.1765046,node,8272556746
201,9,35.1691019,129.1762397,node,8272556750
202,1,35.1665981,129.1695668,node,8272531334
202,10,35.1670532,129.1675245,node,8272531341
202,12,35.1668216,129.1674610,node,8272531342
202,2,35.1667977,129.1695587,node,8272531335
202,3,35.1665736,129.1686857,node,8272531336
202,4,35.1669786,129.1685255,node,8272531337
202,5,35.1662892,129.1683723,node,8272531338
202,6,35.1670778,129.1683008,node,8272531339
202,7,35.1662425,129.1680691,node,8272531344
202,8,35.1671380,129.1677568,node,8272531340
202,9,35.1663958,129.1675212,node,8272531343
203,1,35.1637155,129.1592698,node,8272555754
203,2,35.1638386,129.1589558,node,8272555755
203,3,35.1634500,129.1591651,node,8272555759
203,4,35.1635355,129.1584317,node,8272555756
203,5,35.1632921,129.1588972,node,8272555758
203,7,35.1632818,129.1584614,node,8272555757
204,1,35.1612032,129.1479411,node,8272527818
204,2,35.1615123,129.1481024,node,8272527819
204,3,35.1616778,129.1470358,node,8272527821
204,4,35.1619043,129.1473869,node,8272527820
205,1,35.1713999,129.1361574,node,6235412165
205,1,35.1681657,129.1394842,node,8269443420
205,11,35.1690510,129.1383348,node,8269443425
205,2,35.1716620,129.1360342,node,8269437366
205,2,35.1683746,129.1397423,node,8269443419
205,3,35.1717211,129.1359268,node,8269437367
205,3,35.1679728,129.1392654,node,8269443421
205,4,35.1687832,129.1393864,node,8269443428
205,5,35.1682669,129.1385247,node,8269443422
205,6,35.1691991,129.1388360,node,8269443427
205,7,35.1686327,129.1384502,node,8269443423
205,8,35.1692875,129.1385000,node,8269443426
205,9,35.1688184,129.1382971,node,8269443424
206,1,35.1689502,129.1327487,node,8269411686
206,10,35.1687527,129.1310455,node,8269411696
206,11,35.1682938,129.1314259,node,8269411695
206,12,35.1685304,129.1306283,node,8269411697
206,13,35.1681772,129.1308415,node,8269411698
206,2,35.1695672,129.1325612,node,8269411687
206,3,35.1688461,129.1325760,node,8269411688
206,4,35.1696155,129.1322245,node,8269411689
206,5,35.1689009,129.1321910,node,8269411692
206,6,35.1695013,129.1320045,node,8269411690
206,7,35.1685905,129.1315396,node,8269411693
206,8,35.1691609,129.1317854,node,8269411691
206,9,35.1684127,129.1315264,node,8269411694
207,1,35.1664665,129.1226628,node,8269377084
207,2,35.1665740,129.1227877,node,8269377085
207,3,35.1674111,129.1214100,node,8269377086
207,4,35.1675727,129.1215796,node,8269377087
208,10,35.1655527,129.1146344,node,8269398835
208,11,35.1661288,129.1150185,node,8269398832
208,12,35.1642383,129.1143394,node,8269398838
208,13,35.1654556,129.1148760,node,8269398834
208,14,35.1637034,129.1142401,node,8269398836
208,15,35.1641995,129.1146472,node,8269398839
208,17,35.1636713,129.1145506,node,8269398837
208,8,35.1661625,129.1147665,node,8269398833
209,1,35.1585689,129.1134583,node,6166890357
209,2,35.1586206,129.1131840,node,6166890358
209,3,35.1575001,129.1131536,node,6166890356
209,4,35.1575112,129.1129362,node,6166890355
209,5,35.1568744,129.1130348,node,6166890354
209,6,35.1570099,129.1127609,node,6166890353
210,1,35.1505996,129.1113714,node,8269374953
210,2,35.1506444,129.1110982,node,8269374954
210,3,35.1500527,129.1112114,node,8269374955
210,4,35.1500846,129.1109485,node,8269374956
210,5,35.1489170,129.1108926,node,8269374957
210,6,35.1489521,129.1106422,node,8269374958
211,1,35.1426271,129.1086206,node,8269333262
211,2,35.1427296,129.1084914,node,8269333263
211,3,35.1411186,129.1070544,node,8269333264
211,4,35.1412301,129.1069338,node,8269333265
212,1,35.1379060,129.1013782,node,8269342900
212,2,35.1380585,129.1012456,node,8269342901
212,3,35.1373566,129.1003528,node,8269342902
212,4,35.1375189,129.1001314,node,8269342903
212,5,35.1370378,129.0996578,node,8269342904
212,6,35.1372719,129.0995823,node,8269342905
213,1,35.1350798,129.0930401,node,8269332203
213,2,35.1352554,129.0930365,node,8269332204
213,3,35.1350443,129.0922461,node,8269332205
213,4,35.1352251,129.0922416,node,8269332206
213,5,35.1349964,129.0915650,node,8269332207
213,6,35.1351963,129.0915605,node,8269332208
214,1,35.1346388,129.0847286,node,8269293990
214,2,35.1347912,129.0847247,node,8269293991
214,3,35.1346116,129.0841230,node,8269293992
214,4,35.1347664,129.0841263,node,8269293993
215,1,35.1349969,129.0750976,node,8269289579
215,2,35.1351898,129.0753827,node,8269289580
215,3,35.1358389,129.0736494,node,8269289582
215,4,35.1358859,129.0739807,node,8269289581
216,1,35.1381913,129.0674532,node,8269280531
216,2,35.1382864,129.0679302,node,8269280532
216,3,35.1395397,129.0669005,node,8269280533
216,4,35.1397972,129.0673774,node,8269280534
