source_content_type_id,source_lcls3_code,target_place_type,target_subtype_code,target_subtype_name,mapping_status,source_count,sample_titles
12,NA040600,TOURIST_SPOT,FOREST_RECREATION,자연휴양림·수목원,CONFIRMED,238,국립금산자연휴양림 / 정남진 편백숲 우드랜드 / 운림산림욕장
12,NA040700,TOURIST_SPOT,PARK,공원,CONFIRMED,206,생각하는 정원 / 바람새마을 소풍정원 / 라원
12,NA050100,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,211,영금정갯바위 / 광주천 벚꽃길 / SK인천석유화학벚꽃동산
12,VE010100,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,20,더베이101 / 폭풍속으로 드라마세트장 / 인천내항 사일로벽화
12,VE010200,TOURIST_SPOT,OBSERVATORY,전망대,CONFIRMED,204,태화강 전망대 / 태풍전망대 / 송산그린시티전망대
12,VE010300,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,138,월영산 출렁다리 / 은파 물빛다리 / 연하협구름다리
12,VE010400,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,14,남당항 해양분수공원 / 춤추는 바다분수 / BIG-O쇼 (빅오쇼)
12,VE010500,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,33,장보고 동상 / 유관순열사상 / 김좌진장군동상
12,VE010600,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,18,영천 와인터널 / 소금정공원 장미터널 / 군산 해망굴
12,VE010700,TOURIST_SPOT,LAKE_RIVER,호수·강,CONFIRMED,12,대청댐 / 부안댐 / 운문댐·운문호
12,VE010800,TOURIST_SPOT,OBSERVATORY,전망대,NEEDS_REVIEW,54,인천 팔미도 등대 / 해남 목포구 등대 / 홍도등대
12,VE010900,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,7,함평 구 학다리역 급수탑 / 간절곶소망우체통 / 보문콜로세움
12,VE020100,TOURIST_SPOT,THEME_PARK,테마파크,CONFIRMED,244,산청 동의보감촌 / 두리랜드 / 아르티스 테마파크
12,VE020200,TOURIST_SPOT,THEME_PARK,테마파크,CONFIRMED,32,스파밸리 워터파크 / 파라다이스 시티 씨메르(인천) / 쏠비치 삼척 오션플레이
12,VE020300,TOURIST_SPOT,THEME_PARK,테마파크,CONFIRMED,35,쥬라리움 동탄점 / 광주벅스랜드 / 광주 우치공원 동물원
12,VE020400,TOURIST_SPOT,THEME_PARK,테마파크,CONFIRMED,15,아쿠아플라넷 여수 / 충주아쿠아리움 / 플레이 아쿠아리움 부천
12,VE020500,TOURIST_SPOT,OBSERVATORY,전망대,CONFIRMED,39,국토정중앙천문대 / 인천어린이천문대 / 곡성섬진강천문대
12,VE030100,TOURIST_SPOT,PARK,공원,CONFIRMED,600,두리생태공원 / 거창사건추모공원 / 월명공원
12,VE030200,TOURIST_SPOT,PARK,공원,CONFIRMED,14,거징이쉼터 / 탑골의 탑이야기 / 설악산소공원
12,VE030300,TOURIST_SPOT,PARK,공원,CONFIRMED,17,본촌생태어린이공원 / 화추어린이공원 / 하계어린이공원
12,VE030400,TOURIST_SPOT,PARK,공원,CONFIRMED,197,남가람공원·남가람별빛길 / 문화공원(고양) / 아중체련공원
12,VE030500,TOURIST_SPOT,PARK,공원,CONFIRMED,493,동탄치동천체육공원 / 안양예술공원 / 수릉원
12,VE040100,TOURIST_SPOT,STREET_VILLAGE,거리·골목·마을,CONFIRMED,313,대구 진골목 / 종로3가 포장마차 거리 / 닭전 골목
12,VE040200,TOURIST_SPOT,STREET_VILLAGE,거리·골목·마을,CONFIRMED,255,동강마을 / 아바이마을 / 이인 벽화마을
12,VE040300,TOURIST_SPOT,STREET_VILLAGE,거리·골목·마을,CONFIRMED,58,공마당둘레길 / 서해안 황금해안길 / [종로둘레길 3코스] 낙산 코스
12,VE050100,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,81,고석정국민관광지 / 펙스코(FXCO) / 새만금
12,VE050200,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,56,더위크앤리조트 (THE WEEK & RESORT) / 파라다이스시티 / 한화리조트 경주
12,VE060100,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,2,황인용 뮤직 스페이스 / 대전신세계 아트앤사이언스 (Art&Science)
12,VE070100,TOURIST_SPOT,MUSEUM,박물관·기념관,CONFIRMED,5,산천어커피박물관 / 한길책박물관 / 문학산역사관
12,VE070200,TOURIST_SPOT,MUSEUM,박물관·기념관,CONFIRMED,1,군산 3·1운동 100주년 기념관
12,VE070300,TOURIST_SPOT,MUSEUM,박물관·기념관,CONFIRMED,7,일제강점기 군산역사관 / 농업기술센터 / 곤충생태관
12,VE070600,TOURIST_SPOT,ART_MUSEUM,미술관,CONFIRMED,2,아르떼뮤지엄 제주 / 하슬라아트월드
12,VE090300,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,2,용인어린이상상의숲 / 마포중앙도서관
12,VE090400,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,2,양구돌산령지게놀이 전수관 / 예지원
12,VE090600,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,5,육군사관학교 / 두물머리생태학교 / 청도한옥학교
12,VE100200,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,1,복합생활스포츠타운
12,VE110100,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,1,인천국제공항
12,VE110200,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,2,정동진역 / 화본역
